"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Village of Johnson City","Broome","Southern Tier","15,343","Designated CEC","","Medium community","1,000","• Benchmarking - Municipal Buildings (100 points) - 7/11/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/14/2017 
 • Unified Solar Permit (200 points) - 7/3/2018","4"
"Village of Jordan","Onondaga","Central New York","1,192","Designated CEC","","Small community","1,100","• Benchmarking - Municipal Buildings (100 points) - 7/25/2017 
 • Clean Fleets (100 points) - 10/2/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/4/2019 
 • Unified Solar Permit (200 points) - 8/15/2017","5"
"Village of Kaser","Rockland","Mid-Hudson","5,491","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/18/2019","1"
"Village of Kenmore","Erie","Western New York","15,205","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 6/13/2023","1"
"Village of Kinderhook","Columbia","Capital Region","1,170","Designated CEC","2-Star","Small community","3,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 5/18/2021 
 • Benchmarking - Municipal Buildings (100 points) - 5/16/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/10/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 1/2/2024 
 • Clean Energy Upgrades (500 points) - 6/1/2021 
 • Clean Fleets (100 points) - 3/11/2019 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/3/2023 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 9/5/2023 
 • Community Campaigns - Community Solar (200 points) - 10/20/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/20/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Municipal Clean Fleets Inventory (200 points) - 4/23/2024 
 • Unified Solar Permit (200 points) - 5/2/2017","13"
"Village of Kings Point","Nassau","Long Island","5,619","Not Designated","","Medium community","300","• Energy Code Enforcement Training (300 points) - 1/9/2024","1"
"Village of Lacona","Oswego","Central New York","657","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/15/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/24/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/4/2018 
 • Unified Solar Permit (200 points) - 11/21/2017","4"
"Village of Lake George","Warren","Capital Region","1,008","Designated CEC","1-Star","Small community","1,900","• CDG Subscription (300 points) - 8/13/2024 
 • Clean Fleets (100 points) - 8/13/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/19/2020 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/30/2019 
 • Unified Solar Permit (200 points) - 8/13/2018","5"
"Village of Lake Placid","Essex","North Country","2,205","Designated CEC","2-Star","Small community","3,100","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/30/2024 
 • Clean Fleets (100 points) - 1/5/2021 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 12/15/2021 
 • Clean Heating and Cooling Demo (700 points) - 7/19/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2022 
 • Energy Code Enforcement Training (300 points) - 4/16/2024 
 • LED Street Lights - Decorative Fixtures (200 points) - 7/19/2022 
 • Municipal Clean Fleets Inventory (200 points) - 10/2/2024","8"
"Village of Lakewood","Chautauqua","Western New York","3,002","Designated CEC","1-Star","Small community","1,100","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 1/26/2017 
 • Clean Fleets (100 points) - 2/10/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 1/24/2017 
 • Unified Solar Permit (200 points) - 2/16/2017","5"
"Village of Lancaster","Erie","Western New York","10,027","Designated CEC","2-Star","Medium community","3,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/27/2021 
 • Benchmarking - Municipal Buildings (100 points) - 7/27/2021 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 2/6/2024 
 • Clean Energy Upgrades (500 points) - 11/1/2022 
 • Clean Energy Upgrades -Tier 2 (200 points) - 2/5/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/4/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/8/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/8/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 6/18/2024 
 • Municipal Clean Fleets Inventory (200 points) - 1/2/2024","11"
"Village of Lansing","Tompkins","Southern Tier","3,648","Designated CEC","1-Star","Small community","2,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/8/2022 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 9/5/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 7/30/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 8/13/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/23/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 2/23/2022","7"
"Village of Larchmont","Westchester","Mid-Hudson","6,630","Designated CEC","4-Star","Medium community","7,000","• CCA - 100% Renewable Default Supply (1500 points) - 10/1/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 9/30/2024 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 8/6/2024 
 • Community Campaigns - Community Solar (200 points) - 6/1/2021 
 • Community Campaigns - Demand Response (200 points) - 6/1/2021 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 10/2/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 10/2/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 6/22/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/9/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 10/20/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 8/6/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 8/6/2024 
 • Municipal Clean Fleets Inventory (200 points) - 9/3/2024","15"
"Village of Laurel Hollow","Nassau","Long Island","1,940","Designated CEC","","Small community","800","• Benchmarking - Municipal Buildings (100 points) - 2/27/2017 
 • Clean Energy Upgrades (500 points) - 4/24/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/28/2017 
 • Unified Solar Permit (200 points) - 2/27/2017","4"
"Village of Le Roy","Genesee","Finger Lakes","4,300","Designated CEC","1-Star","Small community","1,400","• 50% Conversion of Cobra Head Streetlights (700 points) - 4/30/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 4/30/2024 
 • Energy Code Enforcement Training (300 points) - 6/26/2024 
 • Municipal Clean Fleets Inventory (200 points) - 1/16/2024","4"
"Village of Leicester","Livingston","Finger Lakes","440","Not Designated","","Small community","100","• Benchmarking - Municipal Buildings (100 points) - 10/11/2023","1"
"Village of Lima","Livingston","Finger Lakes","2,094","Designated CEC","","Small community","5,200","• Benchmarking - Municipal Buildings (100 points) - 6/29/2017 
 • Clean Energy Upgrades (500 points) - 2/18/2020 
 • Clean Fleets (100 points) - 10/2/2018 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 8/24/2021 
 • Community Choice Aggregation - Opt-Out Community Distributed Generation (CDG) (500 points) - 2/3/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/29/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/13/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/17/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/17/2021 
 • NYStretch Energy Code (1200 points) - 6/8/2021 
 • Unified Solar Permit (200 points) - 7/25/2017","11"
"Village of Liverpool","Onondaga","Central New York","2,242","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/28/2022 
 • Unified Solar Permit (200 points) - 11/9/2016","4"
"Village of Livonia","Livingston","Finger Lakes","1,472","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 6/29/2017 
 • Clean Fleets (100 points) - 10/16/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/31/2017 
 • Unified Solar Permit (200 points) - 8/15/2017","4"
"Village of Lodi","Seneca","Finger Lakes","254","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 3/18/2022","1"
"Village of Lowville","Lewis","North Country","3,272","Not Designated","1-Star","Small community","1,100","• 50% Conversion of Cobra Head Streetlights (700 points) - 3/5/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 3/5/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/4/2021","3"
"Village of Malone","Franklin","North Country","5,483","Not Designated","1-Star","Medium community","1,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/16/2024 
 • Energy Code Enforcement Training (300 points) - 4/16/2024 
 • Unified Solar Permit (200 points) - 8/24/2017","3"
"Village of Mamaroneck","Westchester","Mid-Hudson","20,151","Designated CEC","3-Star","Medium community","5,000","• Clean Fleets (100 points) - 8/13/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 3/26/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 3/19/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 4/23/2024 
 • Community Campaigns - Community Solar (200 points) - 6/8/2021 
 • Community Campaigns - Demand Response (200 points) - 5/4/2021 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 8/6/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 5/5/2022 
 • Community Choice Aggregation - Expired Version (0 points) - 11/6/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/13/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/13/2018","12"
"Village of Manchester","Ontario","Finger Lakes","1,640","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023","1"
"Village of Manlius","Onondaga","Central New York","4,662","Designated CEC","1-Star","Small community","1,800","• Benchmarking - Advanced Reporting (300 points) - 4/10/2024 
 • Benchmarking - Municipal Buildings (100 points) - 1/4/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/30/2024 
 • CDG Subscription (300 points) - 4/16/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/16/2018 
 • Unified Solar Permit (200 points) - 11/30/2016","8"
"Village of Marathon","Cortland","Central New York","892","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023","1"
"Village of Marcellus","Onondaga","Central New York","1,745","Designated CEC","","Small community","2,000","• (Retired) Benchmarking - Advanced Reporting (200 points) - 2/23/2021 
 • Benchmarking - Municipal Buildings (100 points) - 3/28/2017 
 • Clean Energy Upgrades (500 points) - 5/2/2017 
 • Clean Fleets (100 points) - 4/24/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/21/2019 
 • Unified Solar Permit (200 points) - 3/17/2017","8"
"Village of Margaretville","Delaware","Southern Tier","514","Designated CEC","1-Star","Small community","1,600","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 1/10/2019 
 • Clean Fleets (100 points) - 12/18/2018 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 10/11/2023 
 • Solarize (0 points) - 12/18/2018 
 • Unified Solar Permit (200 points) - 1/10/2019","6"
"Village of Massena","St. Lawrence","North Country","10,151","Not Designated","","Medium community","1,000","• Benchmarking - Municipal Buildings (100 points) - 9/21/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/13/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/13/2023","3"
"Village of Matinecock","Nassau","Long Island","847","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 2/27/2018","1"
"Village of McGraw","Cortland","Central New York","972","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","2"
"Village of Medina","Orleans","Finger Lakes","6,047","Designated CEC","1-Star","Medium community","1,500","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/13/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/13/2023 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 12/13/2023","5"
"Village of Menands","Albany","Capital Region","4,554","Designated CEC","2-Star","Small community","3,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/4/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 7/9/2024 
 • Benchmarking - Advanced Reporting (300 points) - 5/28/2024 
 • Benchmarking - Municipal Buildings (100 points) - 5/16/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 9/17/2024 
 • CDG Subscription (300 points) - 10/1/2024 
 • Community Campaigns - Community Solar (200 points) - 12/9/2022 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 5/28/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 6/11/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/8/2021 
 • Municipal Clean Fleets Inventory (200 points) - 7/9/2024","11"
"Village of Meridian","Cayuga","Central New York","287","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Village of Mexico","Oswego","Central New York","1,531","Not Designated","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 6/14/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/4/2018 
 • Unified Solar Permit (200 points) - 4/4/2017","3"
"Village of Middleburgh","Schoharie","Mohawk Valley","1,131","Designated CEC","1-Star","Small community","1,600","• CDG Subscription (300 points) - 6/11/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 6/11/2024 
 • Municipal Clean Fleets Inventory (200 points) - 7/23/2024 
 • Unified Solar Permit (200 points) - 9/6/2022","5"
"Village of Mill Neck","Nassau","Long Island","1,054","Designated CEC","","Small community","1,000","• Benchmarking - Municipal Buildings (100 points) - 3/28/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/16/2017 
 • Unified Solar Permit (200 points) - 5/2/2017","4"
"Village of Millbrook","Dutchess","Mid-Hudson","1,455","Not Designated","","Small community","300","• Energy Code Enforcement Training (300 points) - 1/16/2024","1"
"Village of Millerton","Dutchess","Mid-Hudson","903","Designated CEC","1-Star","Small community","2,500","• Benchmarking - Advanced Reporting (300 points) - 5/28/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 9/30/2024 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 7/23/2024 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 10/1/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/4/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 7/30/2024 
 • Municipal Clean Fleets Inventory (200 points) - 8/6/2024","7"
"Village of Minoa","Onondaga","Central New York","3,657","Designated CEC","1-Star","Small community","2,700","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/2/2021 
 • Benchmarking - Municipal Buildings (100 points) - 11/9/2016 
 • Clean Energy Upgrades (500 points) - 7/8/2019 
 • Clean Fleets (100 points) - 11/9/2016 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 6/26/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 6/26/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/7/2017 
 • LED Street Lights - Decorative Fixtures (200 points) - 12/21/2021 
 • Unified Solar Permit (200 points) - 10/17/2016","10"
"Village of Montebello","Rockland","Mid-Hudson","4,507","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/9/2022","1"
"Village of Montour Falls","Null","Null","0","Designated CEC","4-Star","Small community","7,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/9/2021 
 • Benchmarking - Municipal Buildings (100 points) - 2/27/2018 
 • Build Ready - Site Nomination (100 points) - 3/5/2024 
 • Clean Energy Upgrades (500 points) - 8/3/2021 
 • Clean Fleets (100 points) - 4/26/2018 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 7/3/2023 
 • Clean Heating and Cooling Demo (700 points) - 2/3/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 1/9/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 11/16/2022 
 • Community Campaigns - Community Solar (200 points) - 11/16/2021 
 • Electric Landscaping Equipment (200 points) - 4/9/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/14/2020 
 • Level 2 Charging Stations - Tier 1 (200 points) - 9/17/2024 
 • Light-Duty Non-Road Vehicles (200 points) - 4/10/2024 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • NYStretch Energy Code (1200 points) - 4/6/2021 
 • Unified Solar Permit (200 points) - 2/27/2018","20"
"Village of Moravia","Cayuga","Central New York","1,224","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018","2"
"Village of Morrisville","Madison","Central New York","1,633","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 3/30/2023","1"
"Village of Mount Kisco","Westchester","Mid-Hudson","10,959","Designated CEC","3-Star","Medium community","5,000","• 50% Conversion of Decorative Streetlights (200 points) - 2/5/2024 
 • Clean Fleets (100 points) - 1/16/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 1/16/2024 
 • Energize NY Finance (0 points) - 11/9/2016 
 • Energy Code Enforcement Training (300 points) - 2/7/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 1 (400 points) - 2/5/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 2 (500 points) - 2/5/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 3 (600 points) - 2/5/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/16/2018 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 2/9/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 2/9/2024 
 • Open C-PACE Authorization (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 11/9/2016","14"
"Village of Mount Morris","Livingston","Finger Lakes","2,898","Designated CEC","1-Star","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 10/26/2018 
 • Clean Energy Upgrades (500 points) - 4/19/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/4/2018 
 • Municipal Clean Fleets Inventory (200 points) - 1/9/2024 
 • Unified Solar Permit (200 points) - 3/26/2019","6"
"Village of Naples","Ontario","Finger Lakes","931","Designated CEC","1-Star","Small community","1,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 12/21/2023 
 • Benchmarking - Municipal Buildings (100 points) - 1/10/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/4/2018 
 • Solarize (0 points) - 8/14/2019 
 • Unified Solar Permit (200 points) - 2/5/2019","6"
"Village of Nelliston","Montgomery","Mohawk Valley","555","Designated CEC","2-Star","Small community","3,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 10/1/2024 
 • (Retired) Benchmarking - Advanced Reporting (200 points) - 12/1/2021 
 • Benchmarking - Municipal Buildings (100 points) - 9/28/2021 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 7/16/2024 
 • Build Ready - Site Nomination (100 points) - 8/13/2024 
 • Clean Energy Upgrades - Tier 1 (500 points) - 10/15/2024 
 • Electric Landscaping Equipment (200 points) - 10/2/2024 
 • Energy Code Enforcement Training (300 points) - 4/10/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 9/10/2024 
 • Municipal Clean Fleets Inventory (200 points) - 4/10/2024 
 • Unified Solar Permit (200 points) - 7/7/2021","12"
"Village of Nelsonville","Putnam","Mid-Hudson","624","Not Designated","1-Star","Small community","1,900","• 50% Conversion of Cobra Head Streetlights (700 points) - 3/19/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 3/5/2024 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 5/10/2024","3"
"Village of New Berlin","Chenango","Southern Tier","901","Designated CEC","","Small community","1,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 6/28/2022 
 • Benchmarking - Municipal Buildings (100 points) - 3/18/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/11/2022","4"
"Village of New Hartford","Oneida","Mohawk Valley","1,859","Designated CEC","1-Star","Small community","1,700","• Benchmarking - Advanced Reporting (300 points) - 3/26/2024 
 • Benchmarking - Municipal Buildings (100 points) - 8/2/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/2/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/2/2023 
 • Municipal Clean Fleets Inventory (200 points) - 3/5/2024 
 • Unified Solar Permit (200 points) - 9/5/2023","7"
"Village of New Paltz","Ulster","Mid-Hudson","7,324","Designated CEC","3-Star","Medium community","5,400","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/11/2024 
 • Benchmarking - Municipal Buildings (100 points) - 2/20/2018 
 • CCA - 100% Renewable Default Supply (1500 points) - 6/26/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 6/26/2024 
 • Clean Fleets (100 points) - 2/20/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 2/13/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 1/26/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 1/7/2020 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/20/2018 
 • Unified Solar Permit (200 points) - 2/20/2018","10"
"Village of Newark","Wayne","Finger Lakes","9,017","Designated CEC","1-Star","Medium community","1,500","• Benchmarking - Municipal Buildings (100 points) - 3/26/2019 
 • Energy Code Enforcement Training (300 points) - 6/26/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/13/2020 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 5/14/2019","6"
"Village of Newark Valley","Tioga","Southern Tier","928","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Village of Nichols","Tioga","Southern Tier","457","Not Designated","","Small community","1,000","• Benchmarking - Municipal Buildings (100 points) - 10/11/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/11/2023","3"
"Village of North Collins","Erie","Western New York","1,247","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 8/24/2022","1"
"Village of North Syracuse","Onondaga","Central New York","6,739","Designated CEC","","Medium community","1,300","• Benchmarking - Municipal Buildings (100 points) - 11/6/2018 
 • Clean Fleets (100 points) - 12/4/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/5/2017 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/1/2022","6"
"Village of Northville","Fulton","Mohawk Valley","993","Designated CEC","","Small community","600","• Benchmarking - Municipal Buildings (100 points) - 10/16/2017 
 • Clean Fleets (100 points) - 2/27/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 8/15/2017","5"
"Village of Nunda","Livingston","Finger Lakes","1,169","Not Designated","","Small community","900","• Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/16/2023","3"
"Village of Nyack","Rockland","Mid-Hudson","7,265","Designated CEC","5-Star","Medium community","9,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/15/2023 
 • Benchmarking - Municipal Buildings (100 points) - 12/4/2018 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/5/2024 
 • Clean Fleets (100 points) - 12/4/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/11/2019 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 4/10/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 10/2/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 6/26/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 10/2/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 1/9/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 3/5/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 8/20/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/9/2021 
 • Electric Landscaping Equipment (200 points) - 9/17/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/19/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 3/29/2022 
 • Level 2 Charging Stations - Tier 1 (200 points) - 9/30/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 4/30/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 9/3/2024 
 • Municipal Clean Fleets Inventory (200 points) - 2/21/2024 
 • NYStretch Energy Code (1200 points) - 9/26/2022 
 • Unified Solar Permit (200 points) - 6/29/2017","23"
